tick,robot,x,y,heading,fwd_cmd,lat_cmd,yaw_cmd,dpos,d_collisions,dist_to_target
0,0,102.0,131.88,-1.588,0.894,0.0,-0.662,0.12,0,14.2
0,1,132.0,102.0,-3.124,0.0,0.0,1.0,0.0,0,31.6
0,2,42.0,12.12,1.553,0.894,0.0,-0.662,0.12,0,
0,3,12.12,42.0,0.018,0.894,0.0,0.662,0.12,0,
1,0,102.0,131.88,-1.623,0.0,0.0,-1.0,0.0,0,10.9
1,1,132.0,102.0,-3.089,0.0,0.0,1.0,0.0,0,31.6
1,2,42.0,12.36,1.518,0.9,0.0,-0.643,0.24,0,
1,3,12.36,42.0,0.053,0.9,0.0,0.643,0.24,0,
2,0,101.99,131.76,-1.676,0.915,0.0,-0.593,0.12,0,14.0
2,1,132.0,102.0,-3.037,0.0,0.0,1.0,0.0,0,31.6
2,2,42.02,12.72,1.466,0.912,0.0,-0.603,0.36,0,
2,3,12.72,42.02,0.105,0.912,0.0,0.603,0.36,0,
3,0,101.99,131.76,-1.746,0.0,0.0,-1.0,0.0,0,11.0
3,1,132.0,102.0,-2.967,0.0,0.0,1.0,0.0,0,31.6
3,2,42.07,13.2,1.396,0.928,0.0,-0.544,0.48,0,
3,3,13.2,42.07,0.175,0.928,0.0,0.544,0.48,0,
4,0,101.99,131.76,-1.833,0.0,0.0,-1.0,0.0,0,11.0
4,1,132.0,102.0,-2.879,0.0,0.0,1.0,0.0,0,31.6
4,2,42.18,13.79,1.323,0.948,0.0,-0.463,0.6,0,
4,3,13.79,42.18,0.248,0.948,0.0,0.463,0.6,0,
5,0,101.99,131.76,-1.938,0.0,0.0,-1.0,0.0,0,11.0
5,1,132.0,102.0,-2.774,0.0,0.0,1.0,0.0,0,31.6
5,2,42.05,13.97,1.263,0.965,0.0,-0.381,0.223,1,
5,3,13.97,42.05,0.308,0.965,0.0,0.381,0.223,1,
6,0,101.99,131.76,-2.061,0.0,0.0,-1.0,0.0,0,11.0
6,1,131.99,102.0,-2.652,0.009,0.0,1.0,0.013,0,31.6
6,2,42.03,13.99,1.213,0.975,0.0,-0.318,0.027,2,
6,3,13.99,42.03,0.358,0.975,0.0,0.318,0.027,2,
7,0,101.99,131.76,-2.201,0.0,0.0,-1.0,0.0,0,11.0
7,1,131.87,101.93,-2.512,0.129,0.0,1.0,0.133,0,31.6
7,2,42.01,14.0,1.174,0.985,0.0,-0.25,0.021,1,
7,3,14.0,42.01,0.397,0.985,0.0,0.25,0.021,1,
8,0,101.99,131.76,-2.358,0.0,0.0,-1.0,0.0,0,11.0
8,1,131.67,101.78,-2.355,0.251,0.0,1.0,0.253,0,31.6
8,2,42.0,14.01,1.143,0.991,0.0,-0.196,0.017,1,
8,3,14.01,42.0,0.428,0.991,0.0,0.196,0.017,1,
9,0,101.99,131.76,-2.515,0.0,0.0,-1.0,0.0,0,11.0
9,1,131.4,101.52,-2.197,0.372,0.0,1.0,0.373,0,31.4
9,2,41.99,14.01,1.119,0.994,0.0,-0.154,0.013,1,
9,3,14.01,41.99,0.452,0.994,0.0,0.154,0.013,1,
10,0,101.99,131.76,-2.672,0.0,0.0,-1.0,0.0,0,11.0
10,1,131.11,101.12,-2.04,0.476,0.0,1.0,0.493,0,31.1
10,2,41.98,14.02,1.1,0.996,0.0,-0.121,0.01,2,
10,3,14.02,41.98,0.471,0.996,0.0,0.121,0.01,2,
